area	vertices	type	avg_x	avg_y
169.3	7	0	210.017	234.471
3.248	3	0	74.683	226.235
1.299	3	0	148.125	225.96
107.0	7	0	67.609	232.342
117.3	6	0	101.968	234.1
54.56	5	0	147.91	230.698
155.9	8	0	158.689	233.238
1047.0	11	0	242.948	242.622
83.35	5	0	442.338	231.085
24.68	5	0	143.496	232.626
21.87	4	0	204.215	230.264
1.299	3	0	113.542	227.981
11.04	4	0	266.583	231.067
208.7	9	0	340.878	235.105
157.6	5	0	438.317	241.111
1.516	3	0	452.786	228.631
1068.0	10	0	405.537	256.732
240.8	10	0	450.111	239.332
4.763	3	1	499.727	232.055
254.2	6	0	53.565	238.886
183.2	5	0	380.706	238.611
270.6	6	0	466.599	244.351
212.8	8	0	91.191	239.374
33.77	4	1	1.615	235.564
79.46	5	0	391.247	237.22
8.444	3	0	216.205	234.138
400.5	7	0	194.513	243.376
16.24	5	0	150.483	235.622
155.7	8	0	270.037	241.73
29.44	4	0	263.164	236.358
18.84	4	0	101.606	236.53
387.8	7	0	424.52	249.476
30.31	5	0	475.416	237.245
81.84	5	0	483.121	238.914
146.6	7	0	222.09	241.761
301.2	7	1	492.843	245.548
72.96	5	0	41.151	240.491
588.2	10	0	146.789	251.203
11.47	3	0	152.462	238.549
747.6	12	0	68.423	253.292
11.26	3	0	417.38	241.013
152.4	6	0	476.566	248.227
234.7	9	0	344.205	251.453
59.11	5	0	212.887	245.667
24.47	5	0	98.929	245.185
1032.0	8	0	282.12	261.587
508.8	8	0	382.282	256.413
13.86	3	0	337.641	245.68
73.61	4	0	458.125	248.65
78.16	4	0	354.868	249.656
222.6	5	0	127.549	251.84
114.1	7	0	328.448	251.203
234.7	8	0	39.913	255.951
69.72	4	0	47.004	249.912
30.74	4	0	266.375	249.302
270.0	7	0	93.671	254.147
85.52	5	0	218.464	251.892
577.4	13	0	304.517	265.375
318.7	7	0	441.484	256.869
630.3	8	1	16.867	263.433
53.69	5	0	363.804	251.146
3.681	3	0	90.25	249.084
34.21	4	0	315.204	250.52
319.3	9	0	209.591	261.584
1.949	3	0	299.194	249.945
93.75	5	0	454.047	255.774
184.0	6	0	224.809	259.399
73.61	7	0	113.843	253.976
111.3	5	0	197.476	255.825
402.1	8	0	481.966	264.835
883.6	10	0	170.317	274.48
112.4	7	0	319.437	258.972
11.26	6	1	0.447	258.367
12.56	3	0	314.866	254.141
15.37	3	0	333.909	254.843
175.6	7	0	358.333	260.452
201.8	8	0	370.542	266.432
121.7	7	0	417.126	263.369
128.0	5	1	494.851	261.15
56.29	3	0	98.526	261.452
83.35	8	0	461.337	260.52
2361.0	15	0	95.245	281.143
87.25	6	0	118.156	260.044
